,precision,recall,f1-score,support
Computational Social Science and Social Media,0.625,0.5357142857142857,0.576923076923077,28.0
Dialogue and Interactive Systems,0.8035714285714286,0.7758620689655172,0.7894736842105263,58.0
Discourse and Pragmatics,0.3333333333333333,0.18181818181818182,0.23529411764705885,11.0
Ethics and NLP,0.0,0.0,0.0,0.0
Generation,0.59375,0.4523809523809524,0.5135135135135135,42.0
Information Extraction,0.5652173913043478,0.24074074074074073,0.33766233766233766,54.0
Information Retrieval and Text Mining,0.18181818181818182,0.18181818181818182,0.18181818181818182,22.0
Interpretability and Analysis of Models for NLP,0.2727272727272727,0.057692307692307696,0.09523809523809523,52.0
"Language Grounding to Vision, Robotics and Beyond",1.0,0.13793103448275862,0.2424242424242424,29.0
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",0.4166666666666667,0.5555555555555556,0.4761904761904762,9.0
Machine Learning for NLP,0.19852941176470587,0.7714285714285715,0.31578947368421056,70.0
Machine Translation and Multilinguality,0.7125,0.8260869565217391,0.7651006711409397,69.0
NLP Applications,0.25,0.0967741935483871,0.13953488372093023,62.0
"Phonology, Morphology and Word Segmentation",0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
Question Answering,0.5434782608695652,0.625,0.5813953488372093,40.0
Resources and Evaluation,0.0,0.0,0.0,0.0
Semantics: Lexical Semantics,1.0,0.0625,0.11764705882352941,16.0
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",0.38461538461538464,0.18518518518518517,0.25,54.0
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",0.4117647058823529,0.25,0.3111111111111111,28.0
Speech and Multimodality,0.3333333333333333,0.4444444444444444,0.380952380952381,9.0
Summarization,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
"Syntax: Tagging, Chunking and Parsing",1.0,0.11764705882352941,0.21052631578947367,17.0
accuracy,0.42917251051893407,0.42917251051893407,0.42917251051893407,0.42917251051893407
macro avg,0.49376656866688723,0.34402146328357347,0.34754740901641495,713.0
weighted avg,0.525613181806888,0.42917251051893407,0.4111825006012044,713.0
