,precision,recall,f1-score,support
Computational Social Science and Social Media,0.625,0.5357142857142857,0.576923076923077,28.0
Dialogue and Interactive Systems,0.8035714285714286,0.7758620689655172,0.7894736842105263,58.0
Discourse and Pragmatics,0.3333333333333333,0.18181818181818182,0.23529411764705885,11.0
Ethics and NLP,0.0,0.0,0.0,0.0
Generation,0.5238095238095238,0.5238095238095238,0.5238095238095238,42.0
Information Extraction,0.5555555555555556,0.2777777777777778,0.3703703703703704,54.0
Information Retrieval and Text Mining,0.16666666666666666,0.18181818181818182,0.17391304347826086,22.0
Interpretability and Analysis of Models for NLP,0.26666666666666666,0.07692307692307693,0.11940298507462686,52.0
"Language Grounding to Vision, Robotics and Beyond",1.0,0.13793103448275862,0.2424242424242424,29.0
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",0.35714285714285715,0.5555555555555556,0.43478260869565216,9.0
Machine Learning for NLP,0.19771863117870722,0.7428571428571429,0.3123123123123123,70.0
Machine Translation and Multilinguality,0.7125,0.8260869565217391,0.7651006711409397,69.0
NLP Applications,0.2727272727272727,0.0967741935483871,0.14285714285714285,62.0
"Phonology, Morphology and Word Segmentation",0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
Question Answering,0.5581395348837209,0.6,0.5783132530120482,40.0
Resources and Evaluation,0.0,0.0,0.0,0.0
Semantics: Lexical Semantics,1.0,0.0625,0.11764705882352941,16.0
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",0.3684210526315789,0.12962962962962962,0.19178082191780824,54.0
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",0.15384615384615385,0.07142857142857142,0.0975609756097561,28.0
Speech and Multimodality,0.3076923076923077,0.4444444444444444,0.3636363636363637,9.0
Summarization,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
"Syntax: Tagging, Chunking and Parsing",0.5,0.058823529411764705,0.10526315789473684,17.0
accuracy,0.42075736325385693,0.42075736325385693,0.42075736325385693,0.42075736325385693
macro avg,0.4517886420223054,0.3340748467193099,0.3302869744778096,713.0
weighted avg,0.49821958622357115,0.42075736325385693,0.39951264689308247,713.0
