,precision,recall,f1-score,support
Computational Social Science and Social Media,0.5,0.3,0.37499999999999994,20.0
Dialogue and Interactive Systems,0.7317073170731707,0.75,0.7407407407407408,40.0
Discourse and Pragmatics,0.5,0.1,0.16666666666666669,10.0
Ethics and NLP,1.0,0.3333333333333333,0.5,6.0
Generation,0.5384615384615384,0.2413793103448276,0.3333333333333333,29.0
Information Extraction,0.6363636363636364,0.3333333333333333,0.43749999999999994,42.0
Information Retrieval and Text Mining,0.0,0.0,0.0,14.0
Interpretability and Analysis of Models for NLP,0.22727272727272727,0.14285714285714285,0.17543859649122806,35.0
"Language Grounding to Vision, Robotics and Beyond",0.8888888888888888,0.38095238095238093,0.5333333333333333,21.0
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",0.6666666666666666,0.25,0.36363636363636365,8.0
Machine Learning for NLP,0.21243523316062177,0.7884615384615384,0.3346938775510204,52.0
Machine Translation and Multilinguality,0.5671641791044776,0.7450980392156863,0.6440677966101696,51.0
"Phonology, Morphology and Word Segmentation",0.6666666666666666,0.25,0.36363636363636365,8.0
Question Answering,0.5882352941176471,0.6896551724137931,0.6349206349206349,29.0
Resources and Evaluation,0.3333333333333333,0.043478260869565216,0.07692307692307691,23.0
Semantics: Lexical Semantics,0.0,0.0,0.0,13.0
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",0.2,0.08108108108108109,0.11538461538461539,37.0
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",0.45,0.375,0.4090909090909091,24.0
Speech and Multimodality,0.2857142857142857,0.2,0.23529411764705882,10.0
Summarization,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
"Syntax: Tagging, Chunking and Parsing",0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
Theory and Formalism in NLP (Linguistic and Mathematical),0.0,0.0,0.0,1.0
accuracy,0.41929133858267714,0.41929133858267714,0.41929133858267714,0.41929133858267714
macro avg,0.46542211720081195,0.3182275638389493,0.3402744198890781,508.0
weighted avg,0.4737272974908759,0.41929133858267714,0.39856361784236577,508.0
