,precision,recall,f1-score,support
Computational Social Science and Social Media,0.6190476190476191,0.4642857142857143,0.5306122448979592,28.0
Dialogue and Interactive Systems,0.7894736842105263,0.7758620689655172,0.7826086956521741,58.0
Discourse and Pragmatics,0.3333333333333333,0.18181818181818182,0.23529411764705885,11.0
Ethics and NLP,0.0,0.0,0.0,0.0
Generation,0.5581395348837209,0.5714285714285714,0.5647058823529412,42.0
Information Extraction,0.6296296296296297,0.3148148148148148,0.4197530864197531,54.0
Information Retrieval and Text Mining,0.1724137931034483,0.22727272727272727,0.19607843137254902,22.0
Interpretability and Analysis of Models for NLP,0.4166666666666667,0.09615384615384616,0.15625,52.0
"Language Grounding to Vision, Robotics and Beyond",1.0,0.1724137931034483,0.29411764705882354,29.0
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",0.5,0.4444444444444444,0.47058823529411764,9.0
Machine Learning for NLP,0.20081967213114754,0.7,0.3121019108280255,70.0
Machine Translation and Multilinguality,0.686046511627907,0.855072463768116,0.7612903225806451,69.0
NLP Applications,0.2857142857142857,0.0967741935483871,0.14457831325301204,62.0
"Phonology, Morphology and Word Segmentation",0.42857142857142855,0.25,0.3157894736842105,12.0
Question Answering,0.5319148936170213,0.625,0.5747126436781609,40.0
Resources and Evaluation,0.0,0.0,0.0,0.0
Semantics: Lexical Semantics,1.0,0.0625,0.11764705882352941,16.0
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",0.36,0.16666666666666666,0.2278481012658228,54.0
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",0.45,0.32142857142857145,0.375,28.0
Speech and Multimodality,0.3333333333333333,0.4444444444444444,0.380952380952381,9.0
Summarization,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
"Syntax: Tagging, Chunking and Parsing",0.4,0.11764705882352941,0.1818181818181818,17.0
accuracy,0.4417952314165498,0.4417952314165498,0.4417952314165498,0.4417952314165498
macro avg,0.48174228146916726,0.3541478803372088,0.3611351151832254,713.0
weighted avg,0.5253287927315553,0.4417952314165498,0.4260141085486497,713.0
